sample,date,time,ID,neo_nmol_SG,datetime1,group,sex,age,repro,max_t_days1,max_t_days10,max_t_days11,max_t_days12,max_t_days13,max_t_days14,max_t_days15,max_t_days16,max_t_days17,max_t_days18,max_t_days19,max_t_days2,max_t_days20,max_t_days21,max_t_days28,max_t_days3,max_t_days35,max_t_days5,max_t_days7,max_t_days9,min_t_days1,min_t_days10,min_t_days11,min_t_days12,min_t_days13,min_t_days14,min_t_days15,min_t_days16,min_t_days17,min_t_days18,min_t_days19,min_t_days2,min_t_days20,min_t_days21,min_t_days28,min_t_days3,min_t_days35,min_t_days5,min_t_days7,min_t_days9,rain_days1,rain_days2,rain_days3,rain_days4
66,2021-08-24,11:33:00,MIS,558.7492402366858,2021-08-24T11:33:00Z,Mesas,F,2.6,juv,26.1590625,26.436354166666668,26.470677083333335,26.416738782051283,26.36526041666667,26.550020833333335,26.664602864583333,26.633872549019607,26.626828703703705,26.672505482456142,26.711833333333335,26.231006944444445,26.79325892857143,26.765042613636364,27.11141882183908,26.187239583333334,27.069211920529803,26.327152777777776,26.433802083333333,26.397322916666667,25.673854166666665,25.929479166666667,25.963342013888887,25.906682692307694,25.85331845238095,26.042,26.155885416666667,26.12285539215686,26.115121527777777,26.16171052631579,26.196598958333333,25.742361111111112,26.27830357142857,26.25153409090909,26.5891091954023,25.704114583333332,26.550115894039735,25.835642361111113,25.931783854166667,25.890208333333334,0.3510416666666663,0.23611111111111138,0.2692708333333332,0.2179166666666664
67,2021-08-24,13:25:00,MAN,709.3149207100847,2021-08-24T13:25:00Z,Mesas,M,7.2,M,26.1590625,26.436354166666668,26.470677083333335,26.416738782051283,26.36526041666667,26.550020833333335,26.664602864583333,26.633872549019607,26.626828703703705,26.672505482456142,26.711833333333335,26.231006944444445,26.79325892857143,26.765042613636364,27.11141882183908,26.187239583333334,27.069211920529803,26.327152777777776,26.433802083333333,26.397322916666667,25.673854166666665,25.929479166666667,25.963342013888887,25.906682692307694,25.85331845238095,26.042,26.155885416666667,26.12285539215686,26.115121527777777,26.16171052631579,26.196598958333333,25.742361111111112,26.27830357142857,26.25153409090909,26.5891091954023,25.704114583333332,26.550115894039735,25.835642361111113,25.931783854166667,25.890208333333334,0.3510416666666663,0.23611111111111138,0.2692708333333332,0.2179166666666664
68,2021-09-22,12:22:00,MOZ,484.0107528447919,2021-09-22T12:22:00Z,Mesas,M,11.2,M,27.78171875,27.042945075757576,27.05847222222222,26.999447115384616,26.93534226190476,26.86951388888889,26.818958333333335,26.792113970588236,26.824172453703703,26.864928728070176,26.913244791666667,27.927430555555556,26.91437003968254,26.877855113636365,26.703071120689653,27.807317708333333,26.647986111111113,27.78234375,27.432265625,27.151479166666668,27.262708333333332,26.504289772727272,26.525625,26.467371794871795,26.406004464285715,26.343374999999998,26.298079427083334,26.270857843137254,26.301979166666666,26.34168311403509,26.388109375,27.3934375,26.387842261904762,26.34869318181818,26.182112068965516,27.257447916666667,26.130185185185187,27.238506944444445,26.888333333333332,26.609177083333332,0.0031250000000000023,0.002777777777777784,0.01249999999999995,0.010000000000000031
70,2021-10-21,11:30:00,TUA,1022.5130454775821,2021-10-21T11:30:00Z,Tenori,F,0.6,juv,26.76744791666667,26.747973484848483,26.751067708333334,26.793060897435897,26.813020833333333,26.780270833333333,26.80275390625,26.87514093137255,26.938443287037035,26.98280153508772,27.0271875,26.733333333333334,27.031304563492064,27.006927083333334,26.980316091954023,26.772838541666665,27.102994791666667,26.559305555555557,26.647578125,26.712989583333332,26.24880208333333,26.23180871212121,26.229097222222222,26.267884615384617,26.287924107142857,26.262020833333334,26.283411458333333,26.355661764705882,26.41674189814815,26.45792214912281,26.4981875,26.217847222222222,26.501731150793653,26.475326704545456,26.44724856321839,26.262291666666666,26.568561921296297,26.045555555555556,26.132760416666667,26.201583333333332,0.027083333333333407,0.022222222222222254,0.03645833333333338,0.041250000000000134
71,2021-10-21,14:10:00,TAN,2662.7540591715947,2021-10-21T14:10:00Z,Tenori,F,4.6,juv,26.76744791666667,26.747973484848483,26.751067708333334,26.793060897435897,26.813020833333333,26.780270833333333,26.80275390625,26.87514093137255,26.938443287037035,26.98280153508772,27.0271875,26.733333333333334,27.031304563492064,27.006927083333334,26.980316091954023,26.772838541666665,27.102994791666667,26.559305555555557,26.647578125,26.712989583333332,26.24880208333333,26.23180871212121,26.229097222222222,26.267884615384617,26.287924107142857,26.262020833333334,26.283411458333333,26.355661764705882,26.41674189814815,26.45792214912281,26.4981875,26.217847222222222,26.501731150793653,26.475326704545456,26.44724856321839,26.262291666666666,26.568561921296297,26.045555555555556,26.132760416666667,26.201583333333332,0.027083333333333407,0.022222222222222254,0.03645833333333338,0.041250000000000134
73,2021-10-22,10:26:00,TRU,630.1173727810643,2021-10-22T10:26:00Z,Tenori,F,14.3,Lactating,27.197552083333335,26.746145833333333,26.77545138888889,26.77619391025641,26.81339285714286,26.830666666666666,26.798860677083333,26.818927696078433,26.886394675925928,26.94577302631579,26.987546875,26.870868055555555,27.029593253968255,27.033413825757577,26.993254310344827,26.819427083333334,27.116692708333332,26.68043402777778,26.68151041666667,26.699458333333332,26.69140625,26.237405303030304,26.26212673611111,26.257291666666667,26.291294642857142,26.3084375,26.28287109375,26.301776960784313,26.368993055555556,26.426156798245614,26.464807291666666,26.364409722222224,26.502827380952382,26.5059990530303,26.46221264367816,26.312291666666667,26.583246527777778,26.17717013888889,26.166041666666665,26.1944375,0.0031250000000000006,0.018750000000000062,0.017187500000000036,0.029583333333333402
75,2021-10-27,11:00:00,MOZ,577.4494977514915,2021-10-27T11:00:00Z,Mesas,M,11.3,M,27.300625,26.88501893939394,26.840512152777777,26.85420673076923,26.85078125,26.843145833333335,26.866263020833333,26.87988357843137,26.874618055555555,26.8968475877193,26.905630208333335,27.30204861111111,26.877827380952382,26.88974431818182,27.005538793103447,27.216145833333332,27.031328125,27.12171875,27.033151041666667,26.982166666666668,26.770364583333333,26.37246212121212,26.32525173611111,26.33556891025641,26.335126488095238,26.331895833333334,26.35284505208333,26.363504901960784,26.354380787037037,26.374325657894737,26.38303125,26.772256944444443,26.36,26.37110321969697,26.477765804597702,26.682682291666666,26.50207465277778,26.604947916666667,26.515911458333335,26.467885416666668,0.01875000000000002,0.04166666666666655,0.06614583333333317,0.05291666666666678
77,2021-10-28,08:05:00,MIS,1263.8483218934696,2021-10-28T08:05:00Z,Mesas,F,2.8,juv,27.399583333333332,27.03347537878788,26.940147569444445,26.894823717948718,26.903660714285714,26.897166666666667,26.887109375,26.906280637254902,26.916921296296298,26.90998355263158,26.929333333333332,27.382604166666667,26.936150793650793,26.908224431818184,27.049285201149427,27.363177083333333,27.019612268518518,27.19986111111111,27.199283854166666,27.0476875,26.87109375,26.517225378787877,26.42564236111111,26.377972756410255,26.38378720238095,26.380159722222224,26.37431640625,26.391537990196078,26.399456018518517,26.388919956140352,26.406140625,26.85045138888889,26.412916666666668,26.389573863636365,26.52060344827586,26.83184895833333,26.48918113425926,26.67411458333333,26.6784375,26.529385416666667,0.0010416666666666673,0.012499999999999973,0.031249999999999993,0.05291666666666678
79,2021-11-03,14:50:00,PED,1228.615952662731,2021-11-03T14:50:00Z,Tenori,M,11.4,M,26.261822916666667,26.87816287878788,26.870651041666665,26.886578525641024,26.91735119047619,26.870694444444446,26.857845052083334,26.859816176470588,26.80724537037037,26.78322916666667,26.794994791666667,26.514930555555555,26.795530753968254,26.792836174242424,26.840330459770115,26.51174479166667,26.943217592592593,26.541440972222222,26.7559765625,26.870135416666667,25.70901041666667,26.356704545454544,26.352256944444445,26.370977564102564,26.400706845238094,26.3546875,26.342265625,26.345404411764704,26.293894675925927,26.268212719298244,26.27777083333333,25.962604166666665,26.280228174603174,26.280520833333334,26.322665229885057,25.977291666666666,26.41800636574074,26.030399305555555,26.240572916666668,26.35097916666667,0.0635416666666667,0.04305555555555563,0.03489583333333329,0.05333333333333333
82,2021-11-05,10:24:00,PED,421.61401846154735,2021-11-05T10:24:00Z,Tenori,M,11.4,M,26.303958333333334,26.727670454545454,26.775772569444445,26.789823717948718,26.789694940476192,26.808895833333334,26.840677083333333,26.804019607843138,26.796302083333334,26.801304824561402,26.756916666666665,26.142569444444444,26.737584325396824,26.750355113636363,26.810887212643678,26.282890625,26.93863425925926,26.44248263888889,26.4820703125,26.665572916666665,25.808802083333333,26.21375946969697,26.260616319444445,26.27241185897436,26.274620535714284,26.296020833333333,26.32671875,26.29046568627451,26.282991898148147,26.28891995614035,26.245385416666668,25.63611111111111,26.224459325396825,26.23513731060606,26.292112068965515,25.75890625,26.41601851851852,25.92112847222222,25.975,26.15421875,0.005208333333333333,0.04583333333333349,0.03437500000000009,0.02791666666666659
